N-shot,Dice,IoU,Precision,Recall
1,0.3385±0.2218,0.2265±0.1723,0.4104±0.2715,0.4223±0.3065
5,0.4576±0.2045,0.3200±0.1784,0.4288±0.2334,0.6820±0.2877
