N-shot,Dice,IoU,Precision,Recall
1,0.5090±0.2058,0.3651±0.1732,0.5150±0.2344,0.6530±0.2758
5,0.5801±0.1773,0.4292±0.1668,0.4745±0.1977,0.8777±0.1411
