N,dice,dice_std,dice_count,iou,iou_std,iou_count,precision,precision_std,precision_count,recall,recall_std,recall_count
1,0.4578693776261769,0.25169034221257075,132,0.33114109145676396,0.21230131396771212,132,0.5062475287844855,0.29138264250910983,132,0.5571985406671462,0.3174396483412358,132
2,0.4871412629065257,0.24687388921476575,132,0.356762905214384,0.21556223910415998,132,0.5434568438206252,0.28697440496813337,132,0.5877416134506612,0.30358089936799226,132
4,0.567387267019939,0.23113629449731007,132,0.42998079482738394,0.21309348593589922,132,0.5454994341176059,0.2635764790787084,132,0.7234779005705703,0.24912694286728734,132
8,0.5795119317343204,0.23864242332470273,132,0.4437550709790492,0.21572612305158917,132,0.5532178679465505,0.27503222069228195,132,0.7306199458646394,0.2580805647750285,132
16,0.6105606738649041,0.22574819824082387,132,0.474565090960382,0.21901933060161624,132,0.5707726985777051,0.2601439160215107,132,0.7853769690122907,0.21580725399037956,132
32,0.6275846541479176,0.22942692402426193,132,0.49361978060801287,0.22016283678522525,132,0.5764993334263614,0.2654717312115344,132,0.8049350614032725,0.20282893538524058,132
