Class,Name,Samples,Dice,Dice_std,IoU,Precision,Recall
0,nang_da_thuy,24,0.7095918119885027,0.17146001301025568,0.5718974856038889,0.6564306815465292,0.8227639351195345
1,nang_don_thuy,25,0.6632145488262177,0.1748801290356365,0.5202872973680496,0.6527764105796814,0.7352944338321685
2,nang_da_thuy_dac,13,0.6954167806185209,0.1661282979436264,0.5549666904486142,0.696244438107197,0.7648435670595902
3,nang_don_thuy_dac,13,0.6308072295326453,0.21905956018178693,0.49156066445777047,0.6169985085725784,0.7430597795889928
4,u_bi,24,0.5452082740763823,0.20209562674618686,0.4010358216861884,0.4852452948689461,0.7815695771326622
5,u_dac,33,0.4237579505459648,0.23618400468990366,0.29799521996309364,0.362107648512747,0.7146914889488472
